1504233900000  09/1/2017 9:45:00
09/1/2017 8:45:00  1504230300000
09/1/2017 10:45:00  1504237500000
09/1/2017 15:45:00  1504255500000
09/1/2017 20:45:00  1504273500000
09/1/2017 21:45:00  1504277100000
09/2/2017 9:45:00  1504320300000
09/2/2017 10:45:00  1504323900000

09/3/2017 10:00:00  1504407600000
09/4/2017 10:45:00  1504494000000
09/5/2017 10:45:00  1504580400000
09/6/2017 10:45:00  1504666800000
09/8/2017 10:45:00  1504839600000
09/10/2017 10:45:00  1505012400000

09/15/2017 10:00:00 1505444400000
09/16/2017 10:00:00 1505530800000
09/18/2017 10:00:00 1505703600000
09/20/2017 10:00:00 1505876400000
09/22/2017 10:00:00 1506049200000
09/28/2017 10:00:00 1506567600000
09/23/2017 10:00:00 1506135600000
09/26/2017 10:00:00 1506394800000

08/1/2017 10:00:00  1501556400000
08/2/2017 10:00:00 1501642800000
08/3/2017 10:00:00 1501729200000
08/4/2017 10:00:00 1501815600000
08/5/2017 10:00:00 1501902000000
08/8/2017 10:00:00 1502161200000
08/10/2017 10:00:00 1502334000000
08/12/2017 10:00:00 1502506800000
08/15/2017 10:00:00 1502766000000
08/16/2017 10:00:00 1502852400000
08/18/2017 10:00:00 1503025200000
08/20/2017 10:00:00 1503198000000
08/22/2017 10:00:00 1503370800000
08/23/2017 10:00:00 1503457200000
08/25/2017 10:00:00 1503630000000
08/30/2017 10:00:00 1504062000000
